id,split,category,language,difficulty,question_type,question,answerable,expected_documents,expected_pages,first_relevant_document_rank,first_relevant_page_rank,document_mrr,page_mrr,returned_no_result,retrieval_false_positive,latency_ms,retrieved_chunk_count,top_score,retrieved_documents,document_hit@1,document_precision@1,document_recall@1,document_hit@3,document_precision@3,document_recall@3,document_hit@5,document_precision@5,document_recall@5,page_hit@1,page_precision@1,page_recall@1,page_hit@3,page_precision@3,page_recall@3,page_hit@5,page_precision@5,page_recall@5
FAQ-001,development,faq,en,easy,factual,How many dependents are covered by the company health insurance plan?,True,faq_benefits.txt,faq_benefits.txt#p1,1,1,1.0,1.0,,,7345.956,4,0.78,1:FAQ_Benefits.txt#p1[0.78] | 2:Policy_Procurement_Threshold.docx#p1[0.267331] | 3:Policy_Leave.docx#p1[0.250737] | 4:Report_CSAT_2025.pdf#p1[0.221724],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
FAQ-002,development,faq,en,easy,factual,What is the standard employee mailbox quota?,True,faq_email_calendar.txt,faq_email_calendar.txt#p1,1,1,1.0,1.0,,,178.968,5,0.78,1:FAQ_Email_Calendar.txt#p1[0.78] | 2:SOP_Offboarding.pdf#p1[0.313527] | 3:Policy_BYOD.docx#p1[0.238859] | 4:SOP_Leave_Request.pdf#p1[0.238826] | 5:Policy_WFH.docx#p1[0.23016],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
FAQ-003,development,faq,en,easy,factual,How much does a replacement employee access card cost?,True,faq_facilities.txt,faq_facilities.txt#p1,1,1,1.0,1.0,,,131.657,8,0.645068,1:FAQ_Facilities.txt#p1[0.645068] | 2:SOP_Offboarding.pdf#p1[0.451652] | 3:SOP_Expense_Reimbursement.pdf#p1[0.271754] | 4:Policy_Leave.docx#p1[0.260132] | 5:SOP_Access_Provisioning.pdf#p1[0.25922] | 6:Policy_Travel_Expense.docx#p1[0.232977] | 7:Policy_Password.docx#p1[0.223527] | 8:FAQ_Payroll.txt#p1[0.220673],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
FAQ-004,development,faq,en,medium,procedural,Where and when can employees find their payslips?,True,faq_hr.txt,faq_hr.txt#p1,1,1,1.0,1.0,,,179.994,9,0.669005,1:FAQ_HR.txt#p1[0.669005] | 2:FAQ_Payroll.txt#p1[0.373292] | 3:SOP_Offboarding.pdf#p1[0.355102] | 4:Report_Hiring_H1_2025.pdf#p1[0.34522] | 5:Policy_WFH.docx#p1[0.267154] | 6:Policy_Leave.docx#p1[0.251324] | 7:SOP_Leave_Request.pdf#p1[0.248836] | 8:SOP_Expense_Reimbursement.pdf#p1[0.248537] | 9:FAQ_Benefits.txt#p1[0.227629],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
FAQ-005,development,faq,id,medium,procedural,Bagaimana cara mereset kata sandi dan berapa lama prosesnya?,True,faq_it_support.txt,faq_it_support.txt#p1,,,0.0,0.0,,,200.241,7,0.321983,1:Policy_Password.docx#p1[0.321983] | 2:TECH_Data_Retention.txt#p1[0.286504] | 3:Report_Incident_Postmortem.pdf#p1[0.258036] | 4:SOP_Onboarding.pdf#p1[0.255724] | 5:SOP_Access_Provisioning.pdf#p1[0.236314] | 6:TECH_Internal_API_Guide.txt#p1[0.235872] | 7:SOP_Customer_Complaint.pdf#p1[0.224225],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAQ-006,development,faq,en,medium,multi_fact,What documents or details should a new employee bring on the first day?,True,faq_onboarding.txt,faq_onboarding.txt#p1,1,1,1.0,1.0,,,216.424,11,0.548261,1:FAQ_Onboarding.txt#p1[0.548261] | 2:SOP_Onboarding.pdf#p1[0.430154] | 3:SOP_Offboarding.pdf#p1[0.358786] | 4:SOP_Customer_Complaint.pdf#p1[0.355602] | 5:SOP_Procurement.pdf#p1[0.295138] | 6:Report_Hiring_H1_2025.pdf#p1[0.294411] | 7:SOP_Leave_Request.pdf#p1[0.259646] | 8:Policy_Leave.docx#p1[0.259102] | 9:FAQ_Payroll.txt#p1[0.235377] | 10:Policy_Code_of_Conduct.docx#p1[0.235304] | 11:Policy_WFH.docx#p1[0.23222],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
FAQ-007,development,faq,en,medium,conditional,When is salary paid if the 25th falls on a holiday?,True,faq_payroll.txt,faq_payroll.txt#p1,1,1,1.0,1.0,,,187.551,2,0.673901,1:FAQ_Payroll.txt#p1[0.673901] | 2:SOP_Expense_Reimbursement.pdf#p1[0.292677],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
POL-001,development,policy,en,easy,procedural,Through which channels can an employee confidentially report harassment?,True,policy_anti_harassment.docx,policy_anti_harassment.docx#p1,1,1,1.0,1.0,,,191.303,5,0.71196,1:Policy_Anti_Harassment.docx#p1[0.71196] | 2:FAQ_Security_Awareness.txt#p1[0.356803] | 3:Report_Security_Review_2025.pdf#p1[0.262583] | 4:Policy_Code_of_Conduct.docx#p1[0.250898] | 5:Policy_Information_Classification.docx#p1[0.226898],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
POL-002,development,policy,en,easy,requirement,What must happen before a personal device is used for work email?,True,policy_byod.docx,policy_byod.docx#p1,1,1,1.0,1.0,,,152.49,5,0.78,1:Policy_BYOD.docx#p1[0.78] | 2:FAQ_Security_Awareness.txt#p1[0.352549] | 3:Policy_WFH.docx#p1[0.326533] | 4:Policy_Data_Security.docx#p1[0.274416] | 5:FAQ_Remote_Work.txt#p1[0.24113],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
POL-003,development,policy,en,medium,procedural,How must a potential conflict of interest be disclosed?,True,policy_code_of_conduct.docx,policy_code_of_conduct.docx#p1,1,1,1.0,1.0,,,191.208,3,0.78,1:Policy_Code_of_Conduct.docx#p1[0.78] | 2:Policy_Information_Classification.docx#p1[0.228204] | 3:SOP_IT_Incident_Handling.pdf#p1[0.223454],1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.2,1.0
